n_shards,n_nodes,policy,any_failure_rate_mean,any_failure_rate_std,overthreshold_shard_epoch_mean,overthreshold_shard_epoch_std,top1_hit_rate_mean,mean_brier_mean,mean_moved_nodes_mean,mean_controller_ms_mean,n
5,110,no_reconfig,0.4166666666666667,0.5149286505444373,0.0833333333333333,0.1029857301088874,0.8090277777777778,0.0166073515425985,0.0,6.062881097231336,12
5,110,risk_aware_exchange,0.0937499999999999,0.1560288839486543,0.0187499999999999,0.0312057767897308,0.7430555555555555,0.0080120673788324,1.6041666666666667,25.339549038191777,12
9,198,no_reconfig,0.8333333333333334,0.3892494720807615,0.1481481481481481,0.0986250405109549,0.9479166666666666,0.022306687340006,0.0,0.8563757430487663,12
9,198,risk_aware_exchange,0.3819444444444444,0.3202120772406537,0.0513117283950616,0.0415710806578211,0.8298611111111112,0.0112875516060402,2.5,52.18592014583123,12
18,396,no_reconfig,1.0,0.0,0.1249999999999999,0.0536281832868568,0.9583333333333334,0.0201960864241297,0.0,2.0196466736024377,12
18,396,risk_aware_exchange,0.5034722222222222,0.3474557295638309,0.0607638888888888,0.0612690938881997,0.8472222222222222,0.013516216481354,2.826388888888889,107.12805217359606,12
