policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,overthreshold_shard_epoch,suite
no_reconfig,120000,1.0,9.0,0.0344650205761316,0.2222222222222222,0.0069652723463055,1.0,0.0,21.409169541666277,0.1111111111111111,heldout
no_reconfig,120001,1.0,8.0,0.0183256172839506,0.2223508230452675,0.0269742240053142,0.9166666666666666,0.0,0.7959875000012792,0.1111111111111111,heldout
no_reconfig,120002,1.0,8.0,0.018775720164609,0.218042695473251,0.0260897542484736,0.9583333333333334,0.0,0.8036405833327839,0.1111111111111111,heldout
no_reconfig,120003,1.0,10.0,0.0505401234567901,0.2168209876543209,0.0038752448901347,1.0,0.0,0.8103998333321982,0.1111111111111111,heldout
no_reconfig,120004,0.0,7.0,0.0137602880658436,0.2191358024691358,0.0100273753428736,0.5,0.0,22.7501897499985,0.0,heldout
no_reconfig,120005,0.0,7.0,0.013503086419753,0.2130915637860082,0.0133127316046138,0.4583333333333333,0.0,0.931780416667749,0.0,heldout
no_reconfig,120006,1.0,8.0,0.0199331275720164,0.218042695473251,0.023089627550348,0.9166666666666666,0.0,0.8780516666669532,0.1111111111111111,heldout
no_reconfig,120007,1.0,9.0,0.0322788065843621,0.2210005144032922,0.000263175920999,1.0,0.0,0.9125862083330104,0.1111111111111111,heldout
no_reconfig,120008,1.0,10.0,0.0535622427983539,0.2215792181069958,0.0033831159319298,1.0,0.0,21.456989416664147,0.1111111111111111,heldout
no_reconfig,120009,1.0,8.0,0.0146604938271604,0.2254372427983539,0.022478667327305,1.0,0.0,0.8046764166707021,0.1111111111111111,heldout
no_reconfig,120010,1.0,9.0,0.0316358024691358,0.2181712962962962,0.0091599581328934,1.0,0.0,0.7941226666652312,0.1111111111111111,heldout
no_reconfig,120011,1.0,9.0,0.0333719135802469,0.2208719135802469,0.0194110360367012,1.0,0.0,0.7834586666686979,0.2222222222222222,heldout
no_reconfig,120012,1.0,10.0,0.0543338477366255,0.2135416666666666,0.0093312756477843,1.0,0.0,20.913499958335063,0.1111111111111111,heldout
no_reconfig,120013,1.0,8.0,0.0179398148148148,0.2202932098765432,0.0265842987740635,0.9583333333333334,0.0,0.7828205833331955,0.1111111111111111,heldout
no_reconfig,120014,0.0,7.0,0.0145318930041152,0.2172710905349794,0.0170012509499749,0.9166666666666666,0.0,0.782246750002713,0.0,heldout
no_reconfig,120015,1.0,11.0,0.0788323045267489,0.200488683127572,0.0112848627761823,1.0,0.0,0.7843633749982833,0.1111111111111111,heldout
no_reconfig,120016,0.0,7.0,0.0153034979423868,0.2235725308641975,0.0208021681814069,0.9583333333333334,0.0,23.22140120833301,0.0,heldout
no_reconfig,120017,1.0,11.0,0.0768389917695473,0.1876929012345679,0.0090526555877887,1.0,0.0,0.9015545833340374,0.1111111111111111,heldout
no_reconfig,120018,1.0,8.0,0.0227623456790123,0.2246013374485596,0.054233829350665,0.9583333333333334,0.0,0.8965524583347909,0.2222222222222222,heldout
no_reconfig,120019,1.0,8.0,0.0244341563786008,0.2190715020576131,0.0539024162876949,0.9166666666666666,0.0,0.9454197500010272,0.2222222222222222,heldout
no_reconfig,120020,0.0,7.0,0.0132458847736625,0.2188143004115226,0.0161391601050865,0.7916666666666666,0.0,22.13085558333224,0.0,heldout
no_reconfig,120021,1.0,8.0,0.0178755144032921,0.2176568930041152,0.0213803099405966,0.9166666666666666,0.0,0.7830834583349618,0.1111111111111111,heldout
no_reconfig,120022,1.0,8.0,0.0189043209876543,0.2191358024691358,0.0191267700755864,0.9583333333333334,0.0,0.7822458750013084,0.1111111111111111,heldout
no_reconfig,120023,1.0,8.0,0.0198688271604938,0.2230581275720164,0.0195332641798666,0.875,0.0,0.783838750001801,0.1111111111111111,heldout
periodic_global_reshuffle,120000,0.8333333333333334,8.666666666666666,0.0342721193415637,0.219264403292181,0.0094055513552104,0.9583333333333334,49.5,0.81109216666538,0.1111111111111111,heldout
periodic_global_reshuffle,120001,1.0,9.166666666666666,0.0410879629629629,0.2146347736625514,0.0165547028592679,0.9583333333333334,49.5,0.8200570833351387,0.1111111111111111,heldout
periodic_global_reshuffle,120002,1.0,8.333333333333334,0.0266203703703703,0.2188786008230452,0.0325887253497264,1.0,49.5,0.8233186249988478,0.1481481481481481,heldout
periodic_global_reshuffle,120003,0.8333333333333334,9.0,0.0478395061728395,0.2183641975308642,0.0128492022460959,0.9583333333333334,49.5,0.7889197083337981,0.1481481481481481,heldout
periodic_global_reshuffle,120004,0.6666666666666666,8.166666666666666,0.027199074074074,0.2213863168724279,0.0143175888802523,0.9166666666666666,49.5,0.9115957500013632,0.1111111111111111,heldout
periodic_global_reshuffle,120005,0.6666666666666666,8.166666666666666,0.0241769547325102,0.2197788065843621,0.0084189828585589,0.7916666666666666,49.5,0.85311662499817,0.0925925925925925,heldout
periodic_global_reshuffle,120006,0.8333333333333334,8.166666666666666,0.026684670781893,0.2127057613168724,0.028228288199789,0.875,49.5,0.8813429166660095,0.1666666666666666,heldout
periodic_global_reshuffle,120007,0.8333333333333334,8.666666666666666,0.0358796296296296,0.2136059670781893,0.0232288030310752,0.9166666666666666,49.5,0.8915732499978901,0.1296296296296296,heldout
