malicious_fraction,policy,any_failure_rate_mean,any_failure_rate_std,top1_hit_rate_mean,mean_brier_mean,mean_moved_nodes_mean,mean_controller_ms_mean,n
0.2,no_reconfig,0.25,0.4522670168666455,0.8194444444444445,0.008394957159940833,0.0,6.318925934029569,12
0.2,risk_aware_exchange,0.013888888888888876,0.02713912280328871,0.7430555555555555,0.0014482546212552419,3.1875,54.584234090282756,12
0.24,no_reconfig,0.75,0.4522670168666455,0.9548611111111112,0.022315576394697334,0.0,0.893407729159258,12
0.24,risk_aware_exchange,0.21527777777777776,0.16745394864208163,0.7395833333333334,0.012949004178833143,5.881944444444444,55.97067814583075,12
0.28,no_reconfig,1.0,0.0,1.0,0.023615627241054326,0.0,0.872314197917174,12
0.28,risk_aware_exchange,0.5486111111111112,0.11762771553201,0.875,0.03281621134522245,9.125,53.93348621180552,12
0.32,no_reconfig,1.0,0.0,0.9965277777777778,0.039833002147443404,0.0,0.8997752708310713,12
0.32,risk_aware_exchange,1.0,0.0,0.9895833333333334,0.03513587299710053,4.840277777777778,55.28663667360848,12
