policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,max_exchange_k
risk_aware_exchange,91100,0.4166666666666667,7.416666666666667,0.0156893004115226,0.2162422839506173,0.0252288784158582,0.75,1.5,71.24237629166903,1
risk_aware_exchange,91101,0.5416666666666666,7.916666666666667,0.0185185185185185,0.2152134773662551,0.0220810689548426,0.7916666666666666,1.5833333333333333,49.78124424999919,1
risk_aware_exchange,91102,0.5416666666666666,7.791666666666667,0.0189686213991769,0.2213220164609053,0.0157139747081639,1.0,1.25,48.3014317916286,1
risk_aware_exchange,91103,0.5,7.666666666666667,0.0178755144032921,0.2159207818930041,0.0160968679895226,0.75,1.1666666666666667,48.04020362501168,1
risk_aware_exchange,91300,0.3333333333333333,7.666666666666667,0.0214763374485596,0.2153420781893004,0.0073520932897468,0.7916666666666666,3.5,49.24418479166093,3
risk_aware_exchange,91301,0.125,6.666666666666667,0.0157536008230452,0.2178497942386831,0.0114997337337596,0.7083333333333334,1.5,50.54815954164837,3
risk_aware_exchange,91302,0.25,6.958333333333333,0.0169753086419753,0.2181712962962962,0.0106409646525676,0.75,4.666666666666667,50.31771441665948,3
risk_aware_exchange,91303,0.3333333333333333,7.375,0.0170396090534979,0.2171424897119341,0.0104028985515038,0.875,2.6666666666666665,49.57834062503253,3
risk_aware_exchange,91600,0.2083333333333333,6.458333333333333,0.0159465020576131,0.2175925925925926,0.0117694358968098,0.875,4.5,53.44325845834419,6
risk_aware_exchange,91601,0.25,7.125,0.0194187242798353,0.2191358024691358,0.0122931969956462,0.9166666666666666,8.333333333333334,53.39729537501133,6
risk_aware_exchange,91602,0.0833333333333333,6.916666666666667,0.0154963991769547,0.2213863168724279,0.0089621053599604,0.8333333333333334,4.75,52.588416208313525,6
risk_aware_exchange,91603,0.1666666666666666,7.291666666666667,0.016139403292181,0.2195216049382715,0.0117077348604038,0.7916666666666666,7.916666666666667,53.750590333351056,6
risk_aware_exchange,91900,0.0833333333333333,6.5,0.0131172839506172,0.2153420781893004,0.0056087797301711,0.7916666666666666,9.583333333333334,58.66847925003072,9
risk_aware_exchange,91901,0.125,7.166666666666667,0.0144032921810699,0.2176568930041152,0.0068964171382991,0.3333333333333333,7.416666666666667,56.65621541668505,9
risk_aware_exchange,91902,0.0833333333333333,6.791666666666667,0.0138888888888888,0.2186213991769547,0.009095707906,0.75,8.833333333333334,55.86308037501908,9
risk_aware_exchange,91903,0.0416666666666666,6.625,0.0157536008230452,0.2170781893004115,0.0055365768416188,0.6666666666666666,7.166666666666667,55.86507362499068,9
risk_aware_exchange,91104,1.0,9.583333333333334,0.0453960905349794,0.216113683127572,0.0090835192051812,1.0,0.3333333333333333,70.47695462498875,1
risk_aware_exchange,91105,1.0,9.541666666666666,0.0475180041152263,0.2203575102880658,0.0266816921538675,0.9583333333333334,0.5,46.46892508334114,1
risk_aware_exchange,91106,1.0,9.375,0.0394804526748971,0.2168852880658436,0.0005767061590504,1.0,0.6666666666666666,47.85845650000434,1
risk_aware_exchange,91107,0.125,7.125,0.0126671810699588,0.2181712962962962,0.0080589633141995,0.5,0.5833333333333334,46.66449154165283,1
risk_aware_exchange,91304,0.125,6.666666666666667,0.0146604938271604,0.2155349794238683,0.009921004420253,0.7083333333333334,2.9166666666666665,48.52251654169967,3
risk_aware_exchange,91305,0.5833333333333334,7.583333333333333,0.0228909465020576,0.2145061728395061,0.0206169987572385,0.9166666666666666,3.9166666666666665,48.4387649166725,3
risk_aware_exchange,91306,0.1666666666666666,6.875,0.015625,0.2130915637860082,0.0134140596302687,0.8333333333333334,2.6666666666666665,47.82800116667355,3
risk_aware_exchange,91307,0.0,7.0,0.0127957818930041,0.2150848765432098,0.0133331369311869,0.5416666666666666,2.6666666666666665,47.90247504167648,3
risk_aware_exchange,91604,0.125,7.166666666666667,0.0154963991769547,0.2225437242798353,0.0075744118925115,0.625,4.916666666666667,51.61992137501178,6
risk_aware_exchange,91605,0.4166666666666667,7.791666666666667,0.0237268518518518,0.2156635802469135,0.0079203642939394,0.7916666666666666,7.5,52.84422408330632,6
risk_aware_exchange,91606,0.125,7.041666666666667,0.0166538065843621,0.2177211934156378,0.0055795443830284,0.7083333333333334,3.9166666666666665,59.14909725000447,6
risk_aware_exchange,91607,0.125,6.5,0.0142746913580246,0.2228652263374485,0.0080071126860625,0.875,5.25,57.69118708332144,6
risk_aware_exchange,91904,0.25,7.208333333333333,0.0151748971193415,0.2190072016460905,0.0095382953436818,0.625,9.916666666666666,61.83026104169661,9
risk_aware_exchange,91905,0.0833333333333333,6.541666666666667,0.014210390946502,0.2197788065843621,0.0093846826141017,0.9166666666666666,7.833333333333333,57.80453470834838,9
risk_aware_exchange,91906,0.0,6.708333333333333,0.0122170781893004,0.2198431069958847,0.0137905542893839,0.7916666666666666,7.083333333333333,59.42357074999904,9
risk_aware_exchange,91907,0.4166666666666667,7.541666666666667,0.0167181069958847,0.22119341563786,0.0110788843356395,0.8333333333333334,13.083333333333334,57.07786337501375,9
risk_aware_exchange,91108,0.25,7.25,0.0158822016460905,0.2247942386831275,0.0225047316278805,0.75,1.25,69.25941500000476,1
risk_aware_exchange,91109,0.7083333333333334,7.791666666666667,0.0189686213991769,0.2144418724279835,0.0295920108156714,0.875,1.6666666666666667,48.9253465000464,1
risk_aware_exchange,91110,0.125,7.125,0.0139531893004115,0.2103909465020576,0.025956715641084,0.7083333333333334,1.0,46.786362541676375,1
risk_aware_exchange,91111,0.375,7.375,0.0179398148148148,0.2194573045267489,0.0195004083568721,0.9583333333333334,1.5,46.903292458343536,1
risk_aware_exchange,91308,0.0416666666666666,6.958333333333333,0.012281378600823,0.2160493827160493,0.0072743575382329,0.4166666666666667,2.1666666666666665,48.87476558333029,3
risk_aware_exchange,91309,0.25,7.0,0.0159465020576131,0.2190072016460905,0.0105212336530125,0.9583333333333334,2.9166666666666665,48.518273916641874,3
risk_aware_exchange,91310,0.0416666666666666,7.041666666666667,0.0140174897119341,0.2201646090534979,0.0171587519676263,0.5416666666666666,3.5,49.36993454168714,3
risk_aware_exchange,91311,0.0833333333333333,7.041666666666667,0.0144675925925925,0.2112911522633744,0.0082301108970086,0.7916666666666666,2.0,48.90725675000832,3
risk_aware_exchange,91608,0.0833333333333333,6.708333333333333,0.0132458847736625,0.218557098765432,0.0139036984238262,0.6666666666666666,4.75,53.05385829166198,6
risk_aware_exchange,91609,0.3333333333333333,7.333333333333333,0.0185828189300411,0.2130915637860082,0.0202146226827305,0.9166666666666666,7.75,52.913263999992445,6
risk_aware_exchange,91610,0.2083333333333333,7.458333333333333,0.0201260288065843,0.2208076131687243,0.0143582083984545,0.8333333333333334,6.333333333333333,55.13798325000607,6
risk_aware_exchange,91611,0.25,7.333333333333333,0.015432098765432,0.2106481481481481,0.0149801929425269,0.7083333333333334,6.666666666666667,53.1618605416971,6
risk_aware_exchange,91908,0.125,7.166666666666667,0.0190329218106995,0.2148276748971193,0.0038554120361003,0.6666666666666666,7.833333333333333,58.04310120835036,9
risk_aware_exchange,91909,0.2916666666666667,6.75,0.0158179012345679,0.2168852880658436,0.0040106888413751,0.875,8.916666666666666,64.13582866664076,9
risk_aware_exchange,91910,0.2916666666666667,7.166666666666667,0.0156893004115226,0.2177211934156378,0.00673570870414,0.7916666666666666,10.833333333333334,63.71731545834791,9
risk_aware_exchange,91911,0.4583333333333333,7.416666666666667,0.0205761316872428,0.2114197530864197,0.0168135005502009,0.8333333333333334,13.25,54.69073145829384,9
