policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,malicious_fraction
no_reconfig,70200,1.0,8.0,0.013503086419753,0.1903292181069958,0.0185173625663466,1.0,0.0,21.15747770830012,0.2
no_reconfig,70201,0.0,7.0,0.0106095679012345,0.18872170781893,0.0036167358833935,0.8333333333333334,0.0,0.800562874995118,0.2
no_reconfig,70202,0.0,6.0,0.0084876543209876,0.1854423868312757,0.0003807668812133,0.875,0.0,0.7910905416584532,0.2
no_reconfig,70203,0.0,7.0,0.0088734567901234,0.1816486625514403,0.0040178109022427,0.7083333333333334,0.0,0.7980502916969575,0.2
risk_aware_exchange,70200,0.0416666666666666,6.25,0.0081661522633744,0.1865997942386831,0.0025976389724925,0.625,5.0,52.129121958311465,0.2
risk_aware_exchange,70201,0.0,6.25,0.008937757201646,0.1898791152263374,0.0018612747701738,0.7083333333333334,2.4166666666666665,53.63203862500162,0.2
risk_aware_exchange,70202,0.0,6.0,0.0076517489711934,0.1832561728395061,0.0012077408714883,0.7083333333333334,2.75,53.03020929167701,0.2
risk_aware_exchange,70203,0.0,5.541666666666667,0.0075231481481481,0.1867283950617284,0.0012269754867823,0.7916666666666666,3.9166666666666665,50.908876083354926,0.2
no_reconfig,70240,1.0,8.0,0.017554012345679,0.2232510288065843,0.0214155216007261,0.9583333333333334,0.0,0.8259131666648045,0.24
no_reconfig,70241,1.0,8.0,0.0281635802469135,0.2269161522633744,0.0573447278881917,1.0,0.0,0.7918530416570017,0.24
no_reconfig,70242,0.0,7.0,0.0138888888888888,0.2167566872427983,0.0198869000919292,0.9166666666666666,0.0,0.7733463332992111,0.24
no_reconfig,70243,1.0,9.0,0.0528549382716049,0.2263374485596707,0.0293293341795412,1.0,0.0,0.8126262916618998,0.24
risk_aware_exchange,70240,0.125,6.916666666666667,0.0140817901234567,0.2223508230452675,0.0055843839937562,0.6666666666666666,4.333333333333333,51.79278666665255,0.24
risk_aware_exchange,70241,0.2916666666666667,7.041666666666667,0.0178755144032921,0.223315329218107,0.015792146666098,0.9166666666666666,5.916666666666667,51.25979074998099,0.24
risk_aware_exchange,70242,0.1666666666666666,7.041666666666667,0.0118955761316872,0.2215792181069958,0.0102078835323819,0.5833333333333334,5.583333333333333,52.696115750004914,0.24
risk_aware_exchange,70243,0.4583333333333333,7.458333333333333,0.0244341563786008,0.2166280864197531,0.0268445431133319,0.9166666666666666,7.333333333333333,52.99796354168507,0.24
no_reconfig,70280,1.0,11.0,0.0815329218106995,0.2287165637860082,0.0183209408500086,1.0,0.0,0.8408207083524152,0.28
no_reconfig,70281,1.0,9.0,0.0403163580246913,0.2480709876543209,0.0243638533227854,1.0,0.0,0.8308746666519559,0.28
no_reconfig,70282,1.0,10.0,0.0718878600823045,0.2396476337448559,0.0051326252648876,1.0,0.0,0.8782279166723583,0.28
no_reconfig,70283,1.0,8.0,0.0283564814814814,0.2488425925925926,0.0375843660877526,1.0,0.0,0.8575666666767271,0.28
risk_aware_exchange,70280,0.5416666666666666,7.833333333333333,0.0261702674897119,0.2496784979423868,0.0322536610882304,0.8333333333333334,8.083333333333334,53.57881508334117,0.28
risk_aware_exchange,70281,0.6666666666666666,8.125,0.0300282921810699,0.2404192386831275,0.0435037830139073,0.875,9.166666666666666,52.77278091669283,0.28
risk_aware_exchange,70282,0.7083333333333334,8.5,0.0348508230452674,0.2461419753086419,0.0378517976245604,0.9583333333333334,9.833333333333334,52.525360333362414,0.28
risk_aware_exchange,70283,0.5833333333333334,8.125,0.030542695473251,0.2422196502057613,0.0433679050161665,0.9583333333333334,10.75,51.78410470835123,0.28
