max_exchange_k,any_failure_rate_mean,any_failure_rate_std,top1_hit_rate_mean,mean_brier_mean,mean_moved_nodes_mean,mean_controller_ms_mean,n
1,0.548611111111111,0.32119633799607294,0.8368055555555555,0.018422961445182826,1.0833333333333333,53.39237501736389,12
3,0.19444444444444442,0.166034153315937,0.7361111111111112,0.0116971120018671,2.923611111111111,49.00419898611593,12
6,0.19791666666666666,0.10225518929312946,0.7951388888888888,0.011439219067991675,6.048611111111111,54.06257968750182,12
9,0.1875,0.1502313031443329,0.7395833333333334,0.008528767360892683,9.3125,58.64800461111801,12
