batches_per_epoch,n,absolute_reduction,ci_low,ci_high
24,12,0.34375000000000006,0.11805555555555554,0.52439236111111
72,12,0.4479166666666667,0.20833333333333334,0.65625
216,12,0.5,0.3263888888888889,0.6597222222222222
