batches_per_epoch,policy,failure_epoch_fraction,failure_std,brier,top1_hit,moved_per_epoch,controller_ms,n
24,no_reconfig,0.8333333333333334,0.3892494720807615,0.08232360677409471,0.71875,0.0,6.313365857674095,12
24,risk_aware_exchange,0.4895833333333333,0.2556958469776468,0.05240647239525792,0.5694444444444444,4.75,52.28382685073206,12
72,no_reconfig,0.8333333333333334,0.3892494720807615,0.051992783359714606,0.8090277777777778,0.0,0.868150159725979,12
72,risk_aware_exchange,0.3854166666666667,0.27816418830713213,0.03540248972351032,0.7048611111111112,4.715277777777778,53.39466753817609,12
216,no_reconfig,0.8333333333333334,0.3892494720807615,0.03182634852716703,0.9236111111111112,0.0,0.9400379166240529,12
216,risk_aware_exchange,0.3333333333333333,0.26232257110879975,0.020047442118825382,0.8541666666666666,3.1041666666666665,52.44625857294397,12
