policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,batches_per_epoch
no_reconfig,220000,1.0,8.0,0.0073302469135802,0.1662808641975308,0.1312288513400825,0.8333333333333334,0.0,23.748600250087293,24
no_reconfig,220001,1.0,10.0,0.0136959876543209,0.1761188271604938,0.0187790383961161,0.9583333333333334,0.0,0.8027462917349718,24
no_reconfig,220002,0.0,7.0,0.0054012345679012,0.1622299382716049,0.0343589595302204,0.7916666666666666,0.0,0.8055688333570288,24
no_reconfig,220003,1.0,10.0,0.0100308641975308,0.1724537037037037,0.0216753251164089,0.9583333333333334,0.0,0.809867499962517,24
risk_aware_exchange,220000,0.2916666666666667,7.291666666666667,0.0050154320987654,0.1577932098765432,0.0456327108100112,0.4583333333333333,5.083333333333333,51.84402237512131,24
risk_aware_exchange,220001,0.25,7.458333333333333,0.0061728395061728,0.1701388888888888,0.0260124999514941,0.5833333333333334,4.666666666666667,50.39148345834595,24
risk_aware_exchange,220002,0.5833333333333334,8.041666666666666,0.0094521604938271,0.1610725308641975,0.044323172645052,0.5833333333333334,5.0,50.561616375034646,24
risk_aware_exchange,220003,0.375,7.708333333333333,0.0044367283950617,0.1684027777777778,0.0353295944545276,0.7083333333333334,4.916666666666667,52.03344016664838,24
no_reconfig,220000,1.0,8.0,0.0069444444444444,0.1631301440329218,0.0847708088809737,0.8333333333333334,0.0,0.7923447083157953,72
no_reconfig,220001,1.0,10.0,0.0125385802469135,0.1778549382716049,0.005548187758316,1.0,0.0,0.9622935833704104,72
no_reconfig,220002,0.0,7.0,0.0059799382716049,0.1607510288065843,0.0311678785611,0.875,0.0,1.0259110415897037,72
no_reconfig,220003,1.0,10.0,0.0117026748971193,0.1713605967078189,0.0054058035790627,1.0,0.0,1.093905249983133,72
risk_aware_exchange,220000,0.1666666666666666,6.958333333333333,0.0056584362139917,0.1610725308641975,0.0337716246953262,0.8333333333333334,4.666666666666667,57.7789139166498,72
risk_aware_exchange,220001,0.4166666666666667,7.708333333333333,0.0068801440329218,0.1714248971193415,0.0283080252864798,0.6666666666666666,4.916666666666667,58.81155712503036,72
risk_aware_exchange,220002,0.375,7.25,0.0054012345679012,0.1628729423868312,0.0323122600137797,0.625,4.916666666666667,58.5501894168677,72
risk_aware_exchange,220003,0.2083333333333333,7.166666666666667,0.0059799382716049,0.1652520576131687,0.0139000360030594,0.7083333333333334,4.083333333333333,56.13315262500388,72
no_reconfig,220000,1.0,8.0,0.0068801440329218,0.1654878257887517,0.0878032006772816,0.875,0.0,0.8857290834688077,216
no_reconfig,220001,1.0,10.0,0.0129243827160493,0.1718964334705075,0.00728578151391,1.0,0.0,0.8805711665900162,216
no_reconfig,220002,0.0,7.0,0.0061085390946502,0.1644804526748971,0.0223917660933791,0.9583333333333334,0.0,0.931119541633052,216
no_reconfig,220003,1.0,10.0,0.012752914951989,0.1724965706447188,0.0008920974911068,1.0,0.0,0.9333243332321216,216
risk_aware_exchange,220000,0.9583333333333334,8.0,0.0062371399176954,0.1670096021947873,0.0605656094909214,0.7083333333333334,4.583333333333333,51.236633583357616,216
risk_aware_exchange,220001,0.2916666666666667,6.958333333333333,0.0058727709190672,0.1676954732510288,0.0105845674186172,0.875,3.0,54.05351216662287,216
risk_aware_exchange,220002,0.0,6.583333333333333,0.0057227366255144,0.1650805898491083,0.0141686775176007,0.9583333333333334,2.25,63.61098091667827,216
risk_aware_exchange,220003,0.4583333333333333,8.125,0.0110382373113854,0.1684885116598079,0.0067252710848613,0.9583333333333334,1.6666666666666667,58.07050979168101,216
no_reconfig,220004,1.0,9.0,0.0098379629629629,0.1709104938271605,0.0912930745705637,0.8333333333333334,0.0,20.927738583319904,24
no_reconfig,220005,0.0,7.0,0.0061728395061728,0.1765046296296296,0.0252411975164585,0.4166666666666667,0.0,0.7548301250229391,24
no_reconfig,220006,1.0,9.0,0.0084876543209876,0.1741898148148148,0.1222004607519039,0.6666666666666666,0.0,0.7590120417262369,24
no_reconfig,220007,1.0,9.0,0.0092592592592592,0.1714891975308642,0.1232407130774452,0.625,0.0,0.767100750181271,24
risk_aware_exchange,220004,0.875,8.208333333333334,0.0067515432098765,0.1770833333333333,0.0729239389289378,0.4166666666666667,4.333333333333333,49.57859020832226,24
risk_aware_exchange,220005,0.0,6.541666666666667,0.0052083333333333,0.1707175925925926,0.0352363500260383,0.625,4.166666666666667,49.059136833344986,24
risk_aware_exchange,220006,0.7083333333333334,7.958333333333333,0.0069444444444444,0.1711033950617284,0.0658292141014494,0.5833333333333334,5.083333333333333,48.81969850002103,24
risk_aware_exchange,220007,0.4583333333333333,7.833333333333333,0.0065586419753086,0.1579861111111111,0.0493032821174163,0.5,4.666666666666667,48.43631683331751,24
no_reconfig,220004,1.0,9.0,0.0092592592592592,0.1684670781893004,0.0693583326142552,0.875,0.0,0.8177610833778696,72
no_reconfig,220005,0.0,7.0,0.0054012345679012,0.1705889917695473,0.0210332103827103,0.4166666666666667,0.0,0.7907327084240023,72
no_reconfig,220006,1.0,9.0,0.0084876543209876,0.1669238683127571,0.0807835999465007,0.75,0.0,0.8178788333073802,72
no_reconfig,220007,1.0,9.0,0.0088734567901234,0.1689814814814814,0.0612077137611799,0.8333333333333334,0.0,0.799732875028288,72
risk_aware_exchange,220004,0.2916666666666667,7.083333333333333,0.0068801440329218,0.1667952674897119,0.0371610350641358,0.75,4.416666666666667,48.34819724976569,72
risk_aware_exchange,220005,0.0833333333333333,6.875,0.0061085390946502,0.1672453703703703,0.0212879380175213,0.625,4.666666666666667,50.258032749979975,72
risk_aware_exchange,220006,0.4583333333333333,7.5,0.005787037037037,0.1643518518518518,0.0551143468176583,0.5416666666666666,4.75,49.60504920836684,72
risk_aware_exchange,220007,1.0,9.25,0.0102237654320987,0.1675025720164609,0.032267671955992,0.8333333333333334,4.916666666666667,47.41166233327476,72
no_reconfig,220004,1.0,9.0,0.0087448559670781,0.1706532921810699,0.0240719292149062,1.0,0.0,0.8368991249578054,216
no_reconfig,220005,0.0,7.0,0.0058513374485596,0.166366598079561,0.0095250034925079,0.5416666666666666,0.0,0.8573689167027018,216
no_reconfig,220006,1.0,9.0,0.0088520233196159,0.1688314471879286,0.0359292955729959,0.875,0.0,0.8962919998414994,216
no_reconfig,220007,1.0,9.0,0.008659122085048,0.1723251028806584,0.0464735783506949,0.9583333333333334,0.0,0.8660264999207357,216
risk_aware_exchange,220004,0.4583333333333333,7.25,0.0057441700960219,0.1677597736625514,0.0214331766430411,0.7916666666666666,3.1666666666666665,48.77311616674736,216
risk_aware_exchange,220005,0.0,6.625,0.0058727709190672,0.1659379286694101,0.004877600362497,0.625,2.083333333333333,50.19449916672632,216
risk_aware_exchange,220006,0.2916666666666667,6.708333333333333,0.0059156378600823,0.1639874828532236,0.0174482425194594,0.9583333333333334,3.25,49.22282516656651,216
risk_aware_exchange,220007,0.4583333333333333,7.666666666666667,0.006258573388203,0.1677169067215363,0.02138588373863,0.9583333333333334,4.666666666666667,48.39106691671683,216
no_reconfig,220008,1.0,8.0,0.0079089506172839,0.1734182098765432,0.2036263347543824,0.8333333333333334,0.0,23.59361533327349,24
no_reconfig,220009,1.0,8.0,0.0069444444444444,0.1699459876543209,0.0873353742650653,0.375,0.0,0.9076781250314524,24
no_reconfig,220010,1.0,9.0,0.0082947530864197,0.1695601851851852,0.0732189988435848,0.5833333333333334,0.0,0.9077762083506968,24
no_reconfig,220011,1.0,9.0,0.0075231481481481,0.1587577160493827,0.0556849531269049,0.75,0.0,0.9758562500413368,24
risk_aware_exchange,220008,0.625,7.5,0.0054012345679012,0.1759259259259259,0.0750618733049322,0.7083333333333334,4.75,57.44763529169935,24
risk_aware_exchange,220009,0.5416666666666666,7.541666666666667,0.0061728395061728,0.167824074074074,0.06330604790625,0.4583333333333333,5.5,57.95546387510816,24
risk_aware_exchange,220010,0.3333333333333333,7.25,0.0055941358024691,0.171682098765432,0.0480591109134135,0.6666666666666666,4.25,58.61192570838133,24
risk_aware_exchange,220011,0.8333333333333334,8.041666666666666,0.0046296296296296,0.1599151234567901,0.0678598735835726,0.5416666666666666,4.583333333333333,52.66659258343983,24
no_reconfig,220008,1.0,8.0,0.0078446502057613,0.1640303497942386,0.1360404757745499,0.9583333333333334,0.0,0.819800458316422,72
no_reconfig,220009,1.0,8.0,0.0055941358024691,0.1621656378600823,0.069341387594741,0.4583333333333333,0.0,0.8365027500379559,72
no_reconfig,220010,1.0,9.0,0.007716049382716,0.167309670781893,0.0387546408821179,0.75,0.0,0.8850369999890972,72
no_reconfig,220011,1.0,9.0,0.0063014403292181,0.1694315843621399,0.020501360581068,0.9583333333333334,0.0,0.7759016249716902,72
